STATION,DATE,PRCP,TMAX,TMIN,ABay.WL
GOUVERNUERS & WATERTOWN,2/4/2000,0,-64,-236.5,74.36
GOUVERNUERS & WATERTOWN,2/5/2000,45.5,-39,-241.5,74.434
GOUVERNUERS & WATERTOWN,2/6/2000,7.5,-16.5,-142,74.411
GOUVERNUERS & WATERTOWN,2/7/2000,6.5,-2.5,-164,74.399
GOUVERNUERS & WATERTOWN,2/8/2000,0,-16.5,-294.5,74.367
GOUVERNUERS & WATERTOWN,2/9/2000,4,-2.5,-161,74.387
GOUVERNUERS & WATERTOWN,2/10/2000,39,-2.5,-108.5,74.294
GOUVERNUERS & WATERTOWN,2/11/2000,51,-55.5,-169.5,74.356
GOUVERNUERS & WATERTOWN,2/12/2000,0,-61.5,-294.5,74.347
GOUVERNUERS & WATERTOWN,2/13/2000,10,-44.5,-236,74.334
GOUVERNUERS & WATERTOWN,2/14/2000,141,-22.5,-97,74.332
GOUVERNUERS & WATERTOWN,2/15/2000,45.5,-22.5,-97,74.363
GOUVERNUERS & WATERTOWN,2/16/2000,21.5,5.5,-83,74.383
GOUVERNUERS & WATERTOWN,2/17/2000,18,-8,-227.5,74.334
GOUVERNUERS & WATERTOWN,2/18/2000,25.5,-55.5,-239,74.302
GOUVERNUERS & WATERTOWN,2/19/2000,26.5,-36,-169.5,74.327
GOUVERNUERS & WATERTOWN,2/20/2000,1.5,-8,-114,74.38
GOUVERNUERS & WATERTOWN,2/21/2000,1.5,11,-150,74.353
GOUVERNUERS & WATERTOWN,2/22/2000,0,64,-86,74.342
GOUVERNUERS & WATERTOWN,2/23/2000,0,97,-30.5,74.349
GOUVERNUERS & WATERTOWN,2/24/2000,37,108.5,36,74.331
GOUVERNUERS & WATERTOWN,2/25/2000,121,78,19.5,74.34
GOUVERNUERS & WATERTOWN,2/26/2000,2.5,89,22,74.366
GOUVERNUERS & WATERTOWN,2/27/2000,28,141.5,50,74.417
GOUVERNUERS & WATERTOWN,2/28/2000,30.5,105.5,14,74.454
GOUVERNUERS & WATERTOWN,2/29/2000,0,47,-55.5,74.424
GOUVERNUERS & WATERTOWN,3/1/2000,7.5,136,0,74.44
GOUVERNUERS & WATERTOWN,3/2/2000,13,58,-33,74.511
GOUVERNUERS & WATERTOWN,3/3/2000,16.5,17,-69.5,74.477
GOUVERNUERS & WATERTOWN,3/4/2000,0,41.5,-91.5,74.471
GOUVERNUERS & WATERTOWN,3/5/2000,0,61.5,-52.5,74.484
GOUVERNUERS & WATERTOWN,3/6/2000,0,52.5,-58.5,74.476
GOUVERNUERS & WATERTOWN,3/7/2000,0,102.5,-19.5,74.472
GOUVERNUERS & WATERTOWN,3/8/2000,1.5,136.5,-17,74.472
GOUVERNUERS & WATERTOWN,3/9/2000,16.5,197.5,-11,74.483
GOUVERNUERS & WATERTOWN,3/10/2000,25.5,100,-80.5,74.427
GOUVERNUERS & WATERTOWN,3/11/2000,15,-14,-86,74.456
GOUVERNUERS & WATERTOWN,3/12/2000,147.5,5.5,-97,74.495
GOUVERNUERS & WATERTOWN,3/13/2000,0,-5.5,-142,74.499
GOUVERNUERS & WATERTOWN,3/14/2000,7.5,47,-44.5,74.525
GOUVERNUERS & WATERTOWN,3/15/2000,7.5,69.5,16.5,74.521
GOUVERNUERS & WATERTOWN,3/16/2000,89,100,-8,74.491
GOUVERNUERS & WATERTOWN,3/17/2000,5,0,-89,74.442
GOUVERNUERS & WATERTOWN,3/18/2000,0,30.5,-127.5,74.488
GOUVERNUERS & WATERTOWN,3/19/2000,0,91.5,-80.5,74.52
GOUVERNUERS & WATERTOWN,3/20/2000,0,125,-30.5,74.506
GOUVERNUERS & WATERTOWN,3/21/2000,0,142,-27.5,74.503
GOUVERNUERS & WATERTOWN,3/22/2000,0,139,-33.5,74.527
GOUVERNUERS & WATERTOWN,3/23/2000,0,152.5,-8.5,74.546
GOUVERNUERS & WATERTOWN,3/24/2000,0,169.5,-30.5,74.531
GOUVERNUERS & WATERTOWN,3/25/2000,0,186.5,-5.5,74.551
GOUVERNUERS & WATERTOWN,3/26/2000,1.5,141.5,19.5,74.587
GOUVERNUERS & WATERTOWN,3/27/2000,16.5,130.5,-30.5,74.538
GOUVERNUERS & WATERTOWN,3/28/2000,181.5,105.5,25,74.57
GOUVERNUERS & WATERTOWN,3/29/2000,100,64,19.5,74.629
GOUVERNUERS & WATERTOWN,3/30/2000,26.5,64,19.5,74.567
GOUVERNUERS & WATERTOWN,3/31/2000,5,55.5,0,74.55
GOUVERNUERS & WATERTOWN,4/1/2000,0,108,-11,74.547
GOUVERNUERS & WATERTOWN,4/2/2000,51,130.5,39,74.543
GOUVERNUERS & WATERTOWN,4/3/2000,77.5,119.5,52.5,74.531
GOUVERNUERS & WATERTOWN,4/4/2000,162.5,103,36,74.603
GOUVERNUERS & WATERTOWN,4/5/2000,16.5,61,-11,74.665
GOUVERNUERS & WATERTOWN,4/6/2000,1.5,67,-11.5,74.615
GOUVERNUERS & WATERTOWN,4/7/2000,14,91.5,16.5,74.598
GOUVERNUERS & WATERTOWN,4/8/2000,169,69.5,-11,74.588
GOUVERNUERS & WATERTOWN,4/9/2000,270.5,33,-47,74.684
GOUVERNUERS & WATERTOWN,4/10/2000,30.5,28,-28,74.737
GOUVERNUERS & WATERTOWN,4/11/2000,43,50,-25,74.644
GOUVERNUERS & WATERTOWN,4/12/2000,25.5,30.5,-33.5,74.71
GOUVERNUERS & WATERTOWN,4/13/2000,0,55.5,-50,74.737
GOUVERNUERS & WATERTOWN,4/14/2000,0,122.5,-39,74.757
GOUVERNUERS & WATERTOWN,4/15/2000,0,214,83,74.737
GOUVERNUERS & WATERTOWN,4/16/2000,1.5,186,5.5,74.689
GOUVERNUERS & WATERTOWN,4/17/2000,1.5,64,14,74.6
GOUVERNUERS & WATERTOWN,4/18/2000,12.5,69.5,30.5,74.68
GOUVERNUERS & WATERTOWN,4/19/2000,34.5,102.5,42,74.722
GOUVERNUERS & WATERTOWN,4/20/2000,32,133,22,74.687
GOUVERNUERS & WATERTOWN,4/21/2000,145,108.5,55.5,74.699
GOUVERNUERS & WATERTOWN,4/22/2000,130,69.5,39,74.755
GOUVERNUERS & WATERTOWN,4/23/2000,18,69.5,13.5,74.789
GOUVERNUERS & WATERTOWN,4/24/2000,2.5,111.5,-14,74.817
GOUVERNUERS & WATERTOWN,4/25/2000,0,133.5,-19.5,74.781
GOUVERNUERS & WATERTOWN,4/26/2000,1.5,125,-14,74.785
GOUVERNUERS & WATERTOWN,4/27/2000,44.5,111,22.5,74.821
GOUVERNUERS & WATERTOWN,4/28/2000,0,122,19.5,74.836
GOUVERNUERS & WATERTOWN,4/29/2000,1.5,158,-2.5,74.839
GOUVERNUERS & WATERTOWN,4/30/2000,0,175,28,74.84
GOUVERNUERS & WATERTOWN,5/1/2000,47,147,39,74.842
GOUVERNUERS & WATERTOWN,5/2/2000,0,144.5,44.5,74.843
GOUVERNUERS & WATERTOWN,5/3/2000,0,164,22.5,74.862
GOUVERNUERS & WATERTOWN,5/4/2000,14,200,22.5,74.866
GOUVERNUERS & WATERTOWN,5/5/2000,125.5,219.5,128,74.874
GOUVERNUERS & WATERTOWN,5/6/2000,20.5,233.5,144,74.884
GOUVERNUERS & WATERTOWN,5/7/2000,4,258,150,74.889
GOUVERNUERS & WATERTOWN,5/8/2000,28,255.5,161.5,74.866
GOUVERNUERS & WATERTOWN,5/9/2000,108,230.5,169.5,74.891
GOUVERNUERS & WATERTOWN,5/10/2000,95,236.5,97.5,74.904
GOUVERNUERS & WATERTOWN,5/11/2000,230,169.5,97,74.928
GOUVERNUERS & WATERTOWN,5/12/2000,6.5,197.5,100,74.916
GOUVERNUERS & WATERTOWN,5/13/2000,125.5,230.5,116.5,75.009
GOUVERNUERS & WATERTOWN,5/14/2000,0,192,102.5,75.051
GOUVERNUERS & WATERTOWN,5/15/2000,0,153,50,75.044
GOUVERNUERS & WATERTOWN,5/16/2000,14,150,22,75.037
GOUVERNUERS & WATERTOWN,5/17/2000,12.5,194.5,19.5,75.019
GOUVERNUERS & WATERTOWN,5/18/2000,100.5,194.5,66.5,75.058
GOUVERNUERS & WATERTOWN,5/19/2000,105.5,150,19.5,74.984
GOUVERNUERS & WATERTOWN,5/20/2000,11.5,130.5,17,75.024
GOUVERNUERS & WATERTOWN,5/21/2000,6.5,114,69,75.044
GOUVERNUERS & WATERTOWN,5/22/2000,5.5,158,81,75.04
GOUVERNUERS & WATERTOWN,5/23/2000,20,194.5,114,75.043
GOUVERNUERS & WATERTOWN,5/24/2000,91.5,214,108.5,75.078
GOUVERNUERS & WATERTOWN,5/25/2000,86,180.5,102.5,75.129
GOUVERNUERS & WATERTOWN,5/26/2000,0,153,80.5,75.13
GOUVERNUERS & WATERTOWN,5/27/2000,0,172.5,58.5,75.1
GOUVERNUERS & WATERTOWN,5/28/2000,0,164,58.5,75.064
GOUVERNUERS & WATERTOWN,5/29/2000,0,183.5,64,75.058
GOUVERNUERS & WATERTOWN,5/30/2000,0,217,69.5,75.073
GOUVERNUERS & WATERTOWN,5/31/2000,4,233,130.5,75.094
GOUVERNUERS & WATERTOWN,6/1/2000,0,225,114,75.089
GOUVERNUERS & WATERTOWN,6/2/2000,30.5,225,125,75.109
GOUVERNUERS & WATERTOWN,6/3/2000,0,205.5,88.5,75.098
GOUVERNUERS & WATERTOWN,6/4/2000,0,216.5,44.5,75.066
GOUVERNUERS & WATERTOWN,6/5/2000,37,205.5,27.5,75.034
GOUVERNUERS & WATERTOWN,6/6/2000,85.5,175,44.5,75.032
GOUVERNUERS & WATERTOWN,6/7/2000,20.5,163.5,50,75.077
GOUVERNUERS & WATERTOWN,6/8/2000,9,211,97.5,75.091
GOUVERNUERS & WATERTOWN,6/9/2000,61,194.5,114,75.054
GOUVERNUERS & WATERTOWN,6/10/2000,35.5,219.5,119,75.068
GOUVERNUERS & WATERTOWN,6/11/2000,15,214,86,75.021
GOUVERNUERS & WATERTOWN,6/12/2000,3,169.5,75,75.049
GOUVERNUERS & WATERTOWN,6/13/2000,78.5,189,80.5,75.06
GOUVERNUERS & WATERTOWN,6/14/2000,34.5,219.5,125,75.097
GOUVERNUERS & WATERTOWN,6/15/2000,57,250,158,75.147
GOUVERNUERS & WATERTOWN,6/16/2000,117,286,155.5,75.145
GOUVERNUERS & WATERTOWN,6/17/2000,21.5,258.5,139,75.159
GOUVERNUERS & WATERTOWN,6/18/2000,28,197,77.5,75.144
GOUVERNUERS & WATERTOWN,6/19/2000,23,188.5,69.5,75.151
GOUVERNUERS & WATERTOWN,6/20/2000,0,252.5,86,75.136
GOUVERNUERS & WATERTOWN,6/21/2000,56,255.5,139,75.164
GOUVERNUERS & WATERTOWN,6/22/2000,73.5,250,161,75.19
GOUVERNUERS & WATERTOWN,6/23/2000,6.5,236,125,75.179
GOUVERNUERS & WATERTOWN,6/24/2000,0,261,103,75.156
GOUVERNUERS & WATERTOWN,6/25/2000,16.5,258.5,175,75.197
GOUVERNUERS & WATERTOWN,6/26/2000,0,269.5,161,75.19
GOUVERNUERS & WATERTOWN,6/27/2000,100.5,239,161,75.213
GOUVERNUERS & WATERTOWN,6/28/2000,0,225,94.5,75.201
GOUVERNUERS & WATERTOWN,6/29/2000,0,230.5,108.5,75.186
GOUVERNUERS & WATERTOWN,6/30/2000,76,219.5,111,75.206
GOUVERNUERS & WATERTOWN,7/1/2000,0,233,88.5,75.191
GOUVERNUERS & WATERTOWN,7/2/2000,0,261.5,144.5,75.185
GOUVERNUERS & WATERTOWN,7/3/2000,9,239,158.5,75.167
GOUVERNUERS & WATERTOWN,7/4/2000,34.5,225,155.5,75.181
GOUVERNUERS & WATERTOWN,7/5/2000,0,244.5,97.5,75.16
GOUVERNUERS & WATERTOWN,7/6/2000,0,222,67,75.153
GOUVERNUERS & WATERTOWN,7/7/2000,0,225,72,75.131
GOUVERNUERS & WATERTOWN,7/8/2000,1.5,216.5,64,75.136
GOUVERNUERS & WATERTOWN,7/9/2000,152.5,225,141.5,75.139
GOUVERNUERS & WATERTOWN,7/10/2000,299.5,219.5,144.5,75.144
GOUVERNUERS & WATERTOWN,7/11/2000,0,247,77.5,75.121
GOUVERNUERS & WATERTOWN,7/12/2000,0,250,80.5,75.115
GOUVERNUERS & WATERTOWN,7/13/2000,0,272,94.5,75.103
GOUVERNUERS & WATERTOWN,7/14/2000,0,266.5,131,75.102
GOUVERNUERS & WATERTOWN,7/15/2000,59.5,236,133.5,75.077
GOUVERNUERS & WATERTOWN,7/16/2000,108,222,130.5,75.079
GOUVERNUERS & WATERTOWN,7/17/2000,30.5,238.5,133,75.096
GOUVERNUERS & WATERTOWN,7/18/2000,0,230.5,152.5,75.123
GOUVERNUERS & WATERTOWN,7/19/2000,0,211.5,100,75.084
GOUVERNUERS & WATERTOWN,7/20/2000,0,211,66.5,75.087
GOUVERNUERS & WATERTOWN,7/21/2000,16.5,225,114,75.097
GOUVERNUERS & WATERTOWN,7/22/2000,44.5,214,117,75.098
GOUVERNUERS & WATERTOWN,7/23/2000,0,233,114,75.08
GOUVERNUERS & WATERTOWN,7/24/2000,0,264,100,75.06
GOUVERNUERS & WATERTOWN,7/25/2000,0,277.5,114,75.039
GOUVERNUERS & WATERTOWN,7/26/2000,0,280.5,152.5,75.028
GOUVERNUERS & WATERTOWN,7/27/2000,0,280.5,161,75.009
GOUVERNUERS & WATERTOWN,7/28/2000,29,269.5,172,74.993
GOUVERNUERS & WATERTOWN,7/29/2000,110.5,283.5,139,74.977
GOUVERNUERS & WATERTOWN,7/30/2000,174,267,138.5,74.964
GOUVERNUERS & WATERTOWN,7/31/2000,94,283.5,191.5,74.963
GOUVERNUERS & WATERTOWN,8/1/2000,174,275,183.5,74.988
GOUVERNUERS & WATERTOWN,8/2/2000,50,275,191.5,75.004
GOUVERNUERS & WATERTOWN,8/3/2000,6.5,258,175,75.02
GOUVERNUERS & WATERTOWN,8/4/2000,6.5,244.5,89,75.001
GOUVERNUERS & WATERTOWN,8/5/2000,0,233,105.5,74.987
GOUVERNUERS & WATERTOWN,8/6/2000,1.5,241.5,122.5,74.978
GOUVERNUERS & WATERTOWN,8/7/2000,8,250,175,74.992
GOUVERNUERS & WATERTOWN,8/8/2000,53.5,261,189,74.985
GOUVERNUERS & WATERTOWN,8/9/2000,157.5,250,183,75.023
GOUVERNUERS & WATERTOWN,8/10/2000,0,261,133.5,74.982
GOUVERNUERS & WATERTOWN,8/11/2000,1.5,239,147.5,74.962
GOUVERNUERS & WATERTOWN,8/12/2000,86.5,241.5,141.5,74.939
GOUVERNUERS & WATERTOWN,8/13/2000,0,247,114,74.939
GOUVERNUERS & WATERTOWN,8/14/2000,0,267,127.5,74.929
GOUVERNUERS & WATERTOWN,8/15/2000,117,269.5,125,74.925
GOUVERNUERS & WATERTOWN,8/16/2000,132,253,130.5,74.957
GOUVERNUERS & WATERTOWN,8/17/2000,6.5,205.5,102.5,74.925
GOUVERNUERS & WATERTOWN,8/18/2000,0,211.5,89,74.927
GOUVERNUERS & WATERTOWN,8/19/2000,0,200,72,74.914
GOUVERNUERS & WATERTOWN,8/20/2000,0,188.5,64,74.882
GOUVERNUERS & WATERTOWN,8/21/2000,0,205.5,83.5,74.874
GOUVERNUERS & WATERTOWN,8/22/2000,0,241.5,83.5,74.853
GOUVERNUERS & WATERTOWN,8/23/2000,55,225,116.5,74.868
GOUVERNUERS & WATERTOWN,8/24/2000,43,217,116.5,74.866
GOUVERNUERS & WATERTOWN,8/25/2000,0,244.5,125,74.858
GOUVERNUERS & WATERTOWN,8/26/2000,45.5,256,111.5,74.854
GOUVERNUERS & WATERTOWN,8/27/2000,10,236.5,144.5,74.816
GOUVERNUERS & WATERTOWN,8/28/2000,0,256,119.5,74.776
GOUVERNUERS & WATERTOWN,8/29/2000,0,264,144.5,74.795
GOUVERNUERS & WATERTOWN,8/30/2000,0,272.5,175,74.796
GOUVERNUERS & WATERTOWN,8/31/2000,0,280.5,158.5,74.779
GOUVERNUERS & WATERTOWN,9/1/2000,0,288.5,188.5,74.773
GOUVERNUERS & WATERTOWN,9/2/2000,12.5,244,150,74.725
GOUVERNUERS & WATERTOWN,9/3/2000,6.5,186.5,139,74.726
GOUVERNUERS & WATERTOWN,9/4/2000,32,191.5,86.5,74.672
GOUVERNUERS & WATERTOWN,9/5/2000,0,172.5,6,74.674
GOUVERNUERS & WATERTOWN,9/6/2000,0,189,0,74.669
GOUVERNUERS & WATERTOWN,9/7/2000,0,203,31,74.683
GOUVERNUERS & WATERTOWN,9/8/2000,0,233.5,80.5,74.697
GOUVERNUERS & WATERTOWN,9/9/2000,0,241.5,97,74.663
GOUVERNUERS & WATERTOWN,9/10/2000,0,289,80.5,74.648
GOUVERNUERS & WATERTOWN,9/11/2000,60,261,197,74.694
GOUVERNUERS & WATERTOWN,9/12/2000,86.5,255.5,183.5,74.722
GOUVERNUERS & WATERTOWN,9/13/2000,16.5,230.5,102.5,74.703
GOUVERNUERS & WATERTOWN,9/14/2000,58.5,211.5,105.5,74.694
GOUVERNUERS & WATERTOWN,9/15/2000,109,194.5,86,74.693
GOUVERNUERS & WATERTOWN,9/16/2000,15,144,50,74.699
GOUVERNUERS & WATERTOWN,9/17/2000,0,194,64,74.744
GOUVERNUERS & WATERTOWN,9/18/2000,0,191.5,58.5,74.68
GOUVERNUERS & WATERTOWN,9/19/2000,0,247,83.5,74.666
GOUVERNUERS & WATERTOWN,9/20/2000,1.5,266.5,122,74.661
GOUVERNUERS & WATERTOWN,9/21/2000,103,247,122,74.772
GOUVERNUERS & WATERTOWN,9/22/2000,0,175,75,74.646
GOUVERNUERS & WATERTOWN,9/23/2000,76.5,172,89,74.655
GOUVERNUERS & WATERTOWN,9/24/2000,138.5,188.5,3,74.646
GOUVERNUERS & WATERTOWN,9/25/2000,0,138.5,-6,74.615
GOUVERNUERS & WATERTOWN,9/26/2000,0,150,11,74.609
GOUVERNUERS & WATERTOWN,9/27/2000,24,175,44.5,74.619
GOUVERNUERS & WATERTOWN,9/28/2000,48.5,136,-17,74.553
GOUVERNUERS & WATERTOWN,9/29/2000,0,108.5,-41.5,74.572
GOUVERNUERS & WATERTOWN,9/30/2000,0,194.5,19.5,74.591
GOUVERNUERS & WATERTOWN,10/1/2000,0,178,97,74.572
GOUVERNUERS & WATERTOWN,10/2/2000,0,236,100,74.563
GOUVERNUERS & WATERTOWN,10/3/2000,0,214,100,74.584
GOUVERNUERS & WATERTOWN,10/4/2000,9,178,77.5,74.55
GOUVERNUERS & WATERTOWN,10/5/2000,123.5,136,22,74.518
GOUVERNUERS & WATERTOWN,10/6/2000,23,103,42,74.516
GOUVERNUERS & WATERTOWN,10/7/2000,86.5,86,36,74.532
GOUVERNUERS & WATERTOWN,10/8/2000,10.5,78,3,74.527
GOUVERNUERS & WATERTOWN,10/9/2000,0,61.5,-25,74.516
GOUVERNUERS & WATERTOWN,10/10/2000,1.5,86,-14,74.526
GOUVERNUERS & WATERTOWN,10/11/2000,6.5,108.5,33.5,74.543
GOUVERNUERS & WATERTOWN,10/12/2000,0,161,8,74.547
GOUVERNUERS & WATERTOWN,10/13/2000,2.5,177.5,61,74.529
GOUVERNUERS & WATERTOWN,10/14/2000,0,214,119.5,74.533
GOUVERNUERS & WATERTOWN,10/15/2000,0,183,72,74.46
GOUVERNUERS & WATERTOWN,10/16/2000,41.5,100,33.5,74.441
GOUVERNUERS & WATERTOWN,10/17/2000,2.5,111,41.5,74.458
GOUVERNUERS & WATERTOWN,10/18/2000,102,141.5,86,74.49
GOUVERNUERS & WATERTOWN,10/19/2000,0,153,22.5,74.48
GOUVERNUERS & WATERTOWN,10/20/2000,0,178,-3,74.479
GOUVERNUERS & WATERTOWN,10/21/2000,0,191.5,16.5,74.468
GOUVERNUERS & WATERTOWN,10/22/2000,0,153,-36,74.415
GOUVERNUERS & WATERTOWN,10/23/2000,0,133.5,-58.5,74.429
GOUVERNUERS & WATERTOWN,10/24/2000,0,158.5,11,74.443
GOUVERNUERS & WATERTOWN,10/25/2000,0,167,92,74.427
GOUVERNUERS & WATERTOWN,10/26/2000,0,191.5,50,74.418
GOUVERNUERS & WATERTOWN,10/27/2000,0,194.5,80.5,74.423
GOUVERNUERS & WATERTOWN,10/28/2000,0,105.5,16.5,74.357
GOUVERNUERS & WATERTOWN,10/29/2000,0,47.5,-42,74.362
GOUVERNUERS & WATERTOWN,10/30/2000,0,44.5,-83,74.353
GOUVERNUERS & WATERTOWN,10/31/2000,0,83.5,-69.5,74.356
GOUVERNUERS & WATERTOWN,11/1/2000,0,100,-67,74.361
GOUVERNUERS & WATERTOWN,11/2/2000,0,122.5,-58.5,74.355
GOUVERNUERS & WATERTOWN,11/3/2000,2.5,127.5,-41.5,74.353
GOUVERNUERS & WATERTOWN,11/4/2000,0,125,-22.5,74.367
GOUVERNUERS & WATERTOWN,11/5/2000,26.5,91.5,-39,74.356
GOUVERNUERS & WATERTOWN,11/6/2000,0,89,-72.5,74.349
GOUVERNUERS & WATERTOWN,11/7/2000,0,106,-58.5,74.322
GOUVERNUERS & WATERTOWN,11/8/2000,0,117,-36,74.317
GOUVERNUERS & WATERTOWN,11/9/2000,47,141.5,0,74.28
GOUVERNUERS & WATERTOWN,11/10/2000,81.5,144,66.5,74.353
GOUVERNUERS & WATERTOWN,11/11/2000,132.5,106,38.5,74.339
GOUVERNUERS & WATERTOWN,11/12/2000,12.5,52.5,-11,74.313
GOUVERNUERS & WATERTOWN,11/13/2000,0,66.5,-22.5,74.317
GOUVERNUERS & WATERTOWN,11/14/2000,47,88.5,14,74.369
GOUVERNUERS & WATERTOWN,11/15/2000,63.5,61.5,0,74.39
GOUVERNUERS & WATERTOWN,11/16/2000,1.5,67,8,74.388
GOUVERNUERS & WATERTOWN,11/17/2000,43,69.5,8,74.423
GOUVERNUERS & WATERTOWN,11/18/2000,81.5,38.5,-39,74.365
GOUVERNUERS & WATERTOWN,11/19/2000,20.5,19.5,-33.5,74.361
GOUVERNUERS & WATERTOWN,11/20/2000,20.5,28,-41.5,74.377
GOUVERNUERS & WATERTOWN,11/21/2000,94,22.5,-39,74.413
GOUVERNUERS & WATERTOWN,11/22/2000,18,-11,-100,74.346
GOUVERNUERS & WATERTOWN,11/23/2000,4,-47.5,-205.5,74.322
GOUVERNUERS & WATERTOWN,11/24/2000,0,-47.5,-211,74.301
GOUVERNUERS & WATERTOWN,11/25/2000,0,11,-111,74.32
GOUVERNUERS & WATERTOWN,11/26/2000,230,36,-19.5,74.296
GOUVERNUERS & WATERTOWN,11/27/2000,143.5,36,11.5,74.353
GOUVERNUERS & WATERTOWN,11/28/2000,27,44.5,16.5,74.37
GOUVERNUERS & WATERTOWN,11/29/2000,38,53,5.5,74.348
GOUVERNUERS & WATERTOWN,11/30/2000,8,22,-8.5,74.346
GOUVERNUERS & WATERTOWN,12/1/2000,0,0,-69.5,74.334
GOUVERNUERS & WATERTOWN,12/2/2000,0,-27.5,-119.5,74.332
GOUVERNUERS & WATERTOWN,12/3/2000,0,-22,-144,74.358
GOUVERNUERS & WATERTOWN,12/4/2000,0,-2.5,-94.5,74.369
GOUVERNUERS & WATERTOWN,12/5/2000,18,19.5,-61,74.484
GOUVERNUERS & WATERTOWN,12/6/2000,31.5,-19.5,-167,74.352
GOUVERNUERS & WATERTOWN,12/7/2000,129.5,-55.5,-214,74.346
GOUVERNUERS & WATERTOWN,12/8/2000,0,-100,-242,74.266
GOUVERNUERS & WATERTOWN,12/9/2000,1.5,-91.5,-230.5,74.305
GOUVERNUERS & WATERTOWN,12/10/2000,0,-13.5,-141.5,74.351
GOUVERNUERS & WATERTOWN,12/11/2000,9,16.5,-44,74.267
GOUVERNUERS & WATERTOWN,12/12/2000,90,47.5,-131,74.342
GOUVERNUERS & WATERTOWN,12/13/2000,2.5,-25,-253,74.316
GOUVERNUERS & WATERTOWN,12/14/2000,99,-52.5,-197,74.301
GOUVERNUERS & WATERTOWN,12/15/2000,0,-30.5,-183.5,74.323
GOUVERNUERS & WATERTOWN,12/16/2000,53.5,44.5,-108.5,74.307
GOUVERNUERS & WATERTOWN,12/17/2000,108,147,-33,74.455
GOUVERNUERS & WATERTOWN,12/18/2000,29,17,-47.5,74.506
GOUVERNUERS & WATERTOWN,12/19/2000,7.5,-25,-91.5,74.349
GOUVERNUERS & WATERTOWN,12/20/2000,4,-69.5,-130.5,74.401
GOUVERNUERS & WATERTOWN,12/21/2000,0,-44.5,-178,74.383
GOUVERNUERS & WATERTOWN,12/22/2000,69,-22,-119,74.462
GOUVERNUERS & WATERTOWN,12/23/2000,0,-58.5,-144.5,74.418
GOUVERNUERS & WATERTOWN,12/24/2000,30.5,-55.5,-161,74.465
GOUVERNUERS & WATERTOWN,12/25/2000,16.5,-75,-219.5,74.421
GOUVERNUERS & WATERTOWN,12/26/2000,0,-100,-275,74.428
GOUVERNUERS & WATERTOWN,12/27/2000,4,-53,-216.5,74.413
GOUVERNUERS & WATERTOWN,12/28/2000,3,-92,-230.5,74.412
GOUVERNUERS & WATERTOWN,12/29/2000,3,-97,-197.5,74.371
